label,intensity_mean,intensity_sdeviation
161,31912.315415019762,2552.354242879655
162,34748.1867816092,4388.113987186057
163,31716.316509837467,2873.3592934934213
164,29389.52194357367,1849.4927289757463
165,30695.08778625954,1852.0555909963666
166,32633.778436018958,2249.470330380046
167,27067.540880503144,1802.3419009703332
168,30516.811083123426,2569.862441717104
169,31159.028049575994,1851.0398607473537
170,30464.308623298035,1877.639670110546
171,35203.98367346939,3362.353171324071
172,32449.001156069364,3329.4313508810897
173,29715.796116504855,2133.884508962492
174,29047.539808917198,2092.802786502426
175,28115.248514851486,1955.677119229044
176,26823.075910147174,2500.806030955276
177,29989.21052631579,1898.6040492413445
178,28097.578783151326,1876.822742639207
179,34293.21555797892,2609.699680161997
180,27854.469854469855,1721.6870285110538
181,34250.204339963835,2517.6846668742282
182,29848.130830489194,2029.5279022978077
183,29597.164733178655,2447.109959806516
184,23693.342696629214,1709.3125862142597
185,31964.901882487164,1981.1690097642622
186,32980.41836734694,2249.9169032043046
187,35111.98025233132,3404.7747264135246
188,31669.990697674417,2898.9615598511928
189,31392.952595936793,2307.9977710282
190,32073.57292576419,2812.5625384595237
191,28473.659090909092,1696.6350736604884
192,28610.9263803681,1935.2121105399683
193,31436.78587003925,2439.2622890024722
194,31985.1015625,3390.2435303992875
195,27945.23372781065,1962.166826982296
196,28986.666666666668,2036.6768699704605
197,25288.00958188153,1758.5963446927565
198,38132.00589005236,5940.723628564642
199,40633.96827411168,5205.904356379898
200,30475.96746817539,2241.796873586269
201,31585.086892488955,2759.152724177531
202,28486.73342175066,1711.518336973184
203,33460.41628264209,3596.784650076825
204,30000.791521197007,2133.6207207416187
205,31225.803680981597,2385.005320462987
206,27078.07357859532,1935.4372475148336
207,29607.961666666666,1936.6842158348604
208,30096.62905027933,3083.006347624227
209,30293.492108229988,2045.6848214246966
210,29472.2792345854,2379.4521741720123
211,23978.030993618962,1734.376704547841
212,30202.74075829384,2163.5856813554324
213,31264.183574879225,2802.855303143249
214,33211.8674431503,3074.048113725831
215,25956.439325842697,1690.0641631405979
216,32245.01501305483,2694.0427603665134
217,28609.95,1798.0353345156116
218,24038.663978494624,1751.4036621028235
219,33259.91281373844,3249.934890296361
220,30708.354685018527,2437.8135414919543
221,30594.55388180765,2250.82137016157
222,28208.148443157133,1898.0003823852371
223,31150.04599056604,3203.909457638177
224,29133.665300546447,2042.01469744669
225,28633.70460704607,1935.2572364622715
226,36597.64043506078,4827.604710797446
227,30260.10855263158,2767.9930077310355
228,29901.910662824208,2133.4160145537285
229,25136.710321864593,1991.4714010424098
230,27798.08133086876,1979.1789754025515
231,28140.191858121725,1965.8297470502268
232,35278.56597774245,3156.182769313256
233,41805.32677165354,5044.965036704094
234,27731.06106870229,1744.8684709752304
235,25415.169749727964,1939.3587661520937
236,30601.73042505593,2400.6449655447946
237,24533.255480607084,1949.6359390315379
238,27755.66587677725,3180.967979105774
239,28464.163068181817,2030.831084662507
240,27184.270428015563,1778.9604631897876
241,32739.699115044248,2856.017536029044
242,26125.38885595732,1943.081641035395
243,29463.551243781094,2859.6036403166754
244,29678.865629420085,2698.258728218191
245,25725.094674556214,1770.2124475271107
246,28543.1466083151,1959.5264930524093
247,25043.02950609365,2253.1672629817963
248,29771.042318307267,3483.4331887059184
249,24622.894894894896,1888.9053023392066
250,27920.795362903227,2189.9701927238234
251,28919.500658761528,2304.805844011555
252,27070.26740947075,2545.677396334432
253,28275.21107266436,2221.4921410194006
254,29612.99092558984,2583.737735869867
255,27740.92361111111,2084.3635955205614
256,31948.30681818182,3385.4057526990846
