label,intensity_mean,intensity_sdeviation
1,22183.611940298506,2051.5575732295056
2,29775.18543956044,2694.5232564635917
3,36016.3598820059,8578.38881349406
4,24474.254571026722,1982.2734795104652
5,21607.280784844384,1768.1145012018146
6,28248.43031784841,2275.941311084573
7,26417.982432432433,2135.5662847235944
8,23640.578651685395,1680.4323637704586
9,32074.30918220947,3156.0814281580083
10,23596.983546617917,1768.9348827679737
11,25103.84656556646,2052.433603396423
12,25516.646551724138,2314.642888176697
13,26306.35412026726,2138.1850809273724
14,30602.85719754977,2657.7890072857767
15,25942.35053380783,2068.510232020384
16,24631.762512266927,1939.469904846089
17,24251.09490740741,1883.6278537586843
18,24352.589018302828,2415.727561844969
19,28396.01230769231,3136.2723664840714
20,26241.564617314933,2425.587305492193
21,23683.40163934426,1834.135077021957
22,27089.482704402515,2856.201642396402
23,24143.723021582733,2063.738248028679
24,25718.740189445198,1894.6439220859213
25,25050.071014492754,1770.3963412473122
26,24776.775440976933,1671.2296618193297
27,25410.5197486535,2114.4250034492657
28,24680.97212543554,2293.4522118421164
29,26164.23943661972,2462.2001047469
30,24113.772788203754,1859.3243865033646
31,27227.250251256282,2351.91383133771
32,23906.092436974788,1862.2431610547483
33,21768.022450888682,1855.765296022278
34,23708.403353057198,2150.3380881896987
35,24131.367181153535,2122.1128984013617
36,29590.06829268293,3612.490133882471
37,29198.411867364746,2231.0619337392413
38,23072.080895008607,2212.8419881935656
39,28659.769675925927,2148.627039865589
40,23346.057142857142,2092.0044608948297
41,29843.19274092616,2472.096708629821
42,24377.13179916318,1837.1103729438616
43,22948.25464684015,1969.6971981132933
44,26171.156398104264,2953.0091635633976
45,25077.323232323233,1779.6131932931626
46,24523.814814814814,1948.8129567419537
47,26702.66307277628,1856.78952187063
48,23154.229540918164,1603.4586797701177
49,24138.46117274168,2278.9413906032437
50,30496.256637168142,2137.2937162946478
51,30062.49240568349,2520.63780358474
52,25532.118055555555,1724.1613816169247
53,22087.90048154093,1999.9694074024017
54,26158.389177939647,2167.7796440766533
55,24333.416570771,1850.9959938886125
56,28037.901021209742,3232.1888032662446
57,25975.611940298506,2287.8553468730574
58,25317.944300518135,1751.7455297624267
59,25989.113133940184,1603.5268740608315
60,32768.88738738739,3591.1277099346025
61,23120.202780996522,1680.8987655188344
62,26923.540458015268,2225.705359908743
63,25991.400370713625,1659.3805098859325
64,28864.302504816955,2325.168780873889
65,24694.465631929048,2332.579312439094
66,25619.582905982905,1700.239065926682
67,25321.2125748503,2128.6344168879814
68,23824.095481049564,1815.7652115748845
69,24366.612046058457,2041.8088864666074
70,25458.52105263158,1830.1677587028416
71,26631.909090909092,1781.245797720359
72,27414.26260504202,1686.6826661624023
73,24172.47893258427,1730.2820111297783
74,27230.24406779661,2844.1987362287773
75,24405.441087613293,1701.8375794509432
76,29569.355430183357,2207.567458179726
77,32955.03743315508,3809.541458882027
78,29221.117554858934,2071.1523927103376
79,30286.803106212425,2514.765463115662
80,26142.734126984127,1965.8542916447816
81,27230.834586466164,1799.4870552080724
82,29173.51540383014,2412.470846521555
83,27679.738644825018,2587.3082145195954
84,26479.077142857142,1656.182473484595
85,27017.86995515695,1631.6512245312563
86,30097.671590909093,2755.2383365166625
87,22852.704545454544,1613.0290171212148
88,33526.645511720984,3742.8177933019647
89,30159.246039443904,3757.6602898759443
90,27074.228313253014,1773.9338108686404
91,26141.051044083528,2213.3574615535827
92,30050.264631043257,2956.368323693678
93,25343.42939330544,1660.297190791786
94,26651.103448275862,1819.2708793365275
95,25375.665571076417,1670.9681710021907
96,24131.972271914132,1911.510105609316
97,24617.844409695073,1745.6172309069793
98,23804.63422818792,1748.1046498108653
99,25426.289523809523,2323.2172028060695
100,27943.75929978118,2484.4858709036484
101,24361.417424242423,1607.1678541344281
102,24467.25051546392,1811.5409645128045
103,27505.536596736598,1904.0864184048787
104,25676.156450671337,1715.1058058670515
105,27513.260032102728,2205.309231524599
106,30873.45112781955,2979.3645338007805
107,27689.446584938705,1933.9993892681916
108,24190.965217391305,1828.6630345503338
109,24503.561216105176,1700.6720561698958
110,29393.50402930403,2352.7091165250545
111,23502.361142217243,1819.768639858104
112,30338.920148560817,4318.009117331312
113,24943.81156156156,1705.674555407751
114,28204.239416058394,2105.0565003550973
115,24728.185073339086,1626.8006999988122
116,23505.36920459379,1751.6414470580567
117,26746.107832009082,1893.8386918220901
118,24883.00438421682,2118.4852591239473
119,30065.156666666666,2639.2656642346437
120,26687.336340206184,2045.5434949446362
121,28170.532430908064,2442.0248442132565
122,28336.27754891864,2512.0574530606204
123,26659.241134751774,1764.003266270875
124,28595.41898864809,2209.786413124847
125,28407.58753202391,2229.908526685593
126,27846.202227934875,1794.627041922879
127,25334.585,2085.4006054191823
128,26535.29357142857,1756.9165311383592
129,25380.82529808191,2076.501387302669
130,31258.972972972973,2403.695305946426
131,25908.835757057313,1650.4074226661664
132,28318.600896860986,1881.3330004690567
133,26028.811513463323,1712.939002073821
134,29362.484375,2205.492420238184
135,24135.880798274004,1636.374768599732
136,27643.908513341805,1889.2586786979512
137,27684.004223864835,1966.4695137354681
138,24384.542501112595,2016.2753063810517
139,25330.679586563307,2515.403485853943
140,26032.701449275362,2091.095457485559
141,26438.980185758515,2170.7810255545596
142,25739.15992970123,1669.8556031605467
143,23867.417699115045,1881.1172134293474
144,32298.26052948255,2335.7537287699097
145,29134.913200723327,2157.4298250396014
146,24731.61581920904,1737.4560115160161
147,25763.8088159918,1635.6889387348442
148,27449.029694323144,1987.743722551232
149,28972.838364167477,2136.796231630356
150,25934.92406143345,1688.2287192193944
